reason_for_recall,classification
"Giant Eagle Voluntarily Recalls Breaded Shrimp Due to an Undeclared Egg Allergen. All lot codes up to and including best by October 24, 2017 of Giant Eagle brand Breaded Shrimp, prepared and sold from the Prepared Foods grab and go sections inside Giant Eagle and Market District supermarkets through October 19, 2017 have been voluntarily recalled by Giant Eagle due to an undeclared egg allergen.",major
Product may contain undeclared milk.,moderate
Undeclared Allergen: Sulfites,moderate
Product may contain undeclared milk.,moderate
Sharp edges were observed on several of the cans which have the potential of causing cuts on the mouths of consumers who use the product.,moderate
"True World Foods Portland, LLC received, repackaged and distributed Ogo (seaweed) which was recalled from the raw material supplier of the Ogo (or Limu) because it  was harvested from the farm that has been linked to Salmonella illnesses in the state of Hawaii.",major
Product potentially contaminated with Salmonella.,severe
Undeclared allergens of egg and milk due to incorrect label,moderate
"Lack of phenylketonuric warning. The main ingredient ""Sugar Free RichCreme Base' contains aspartame.",moderate
Product may be contaminated with Listeria monocytogenes.,severe
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",severe
Lemon Basil Sorbet is being recalled due to the potential to be contaminated with Listeria monocytogenes,severe
Peppermint Stick (without lecithin) Gelato is being recalled due to the potential to be contaminated with Listeria monocytogenes.,severe
Foreign material determined to be part of packaging was found in 24 oz. bags of Pip Pop Movie Theater Popcorn produced on multiple dates.,moderate
"Mondelez Global is conducting the recall of CHEESE NIPS (11 oz. BOX), Retail UPC - 0 44000 03453 5, Best When Used By Date -  May 18, 2020; May 19, 2020; and May 20, 2020 due to the presence of small food-grade yellow plastic pieces from a dough scraper that was incorporated into the production process of a small amount of product.",moderate
The required pre-market notifications for these new  infant formulas have not been submitted to the FDA. All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.,major
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
"Lipari Foods LLC initiated a voluntary recall of Honey Roasted Sunflower Seeds, 12oz Tubs & 25lb Bulk, due to an off taste following a consumer complaint and mislabeled shelf life.",major
Product contains undeclared milk,moderate
"Candy, baked goods, and Caramel icing contain undeclared allergens. Undeclared milk and soy (soybean oil and/or soy lecithin)",moderate
Recall of Ready. Chef. Go! Seafood meal bags after notification that they were produced with vegetable products recalled by supplier for potential Listeria monocytogenes.,major
Potential contamination with Salmonella,major
Sample analysis by FDA found the product to contain undeclared sunset yellow FCF,moderate
Manufacturing defect leading to post-process  contamination.,major
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.  On October 12, 2012 the firm extended its recall to include Raw and Roasted Shelled and In-Shell Peanuts.",major
The products may contain pieces of plastic.,moderate
Listeria monocytogenes,severe
Pastian's Bakery announces a voluntary field action for various breads due to undeclared wheat allergen.,moderate
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
CA Dept. of Public Health collected random samples of Red Vines Black Licorice and found elevated levels of lead in the product.,moderate
"Appeeling Fruit Inc. in Dauberville, Penn. is voluntarily recalling consumer packages of fresh sliced apples with Best-if-Used-by dates of 09/14/15 and 09/21/15, due to the potential to be contaminated with listeria monocytogenes,",severe
The product has the potential to be contaminated with Listeria monocytogenes.,severe
Peppermint Brownie product is recalled due to undeclared soy lecithin.,moderate
Products may be contaminated with  Listeria monocytogenes.,severe
"Go Max Go Foods is recalling various lots of vegan candy bar products containing the statement ""dairy-free"" due to undeclared milk.",major
Product may contain undeclared milk.,moderate
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
Liquid Oil products were reported to contain a high density polyethylene resin trim ring in the 35 lb bottles.,major
The firm is recalling Paleo Protein Bar Chocolate Brownie and Paleo Protein Bar Cookies N' Creme due to undeclared tree nuts (cashews).,major
Undeclared wheat due to supplier's inadvertent use of a wheat product instead of whey in preparing the cheese premix for the recalling firm.,moderate
Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,severe
"According to the firm, they have detected metal in their product.  The firm learned of the problem through an  internal verification techniques. The firm believes there is a risk of a health hazard. an is enacting this recall.",major
Notified by supplier of spinach that product showing the presence of Listeria Monocytogenes was erroneously shipped and used in further manufacturing of products.,severe
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
